Participant;Level;Time Spent (s);Errors (Count);Explanation Time (Before Lvl) (s);Score;BestPercentage;FirstPercentage;Skipp/Read;Restarted
P21;Base Chart;393;5;0;550;100 %;100 %;Skipper;No
;Line Chart;206;1;67;1150;100 %;100 %;Reader;No
;Area Chart;40;0;65;100;100 %;100 %;Reader;No
;Stacked Area;351;1;101;1375;98 %;98 %;Reader;No
;Misleading;162;2;79;150;75 %;75 %;Reader;No
P22;Base Chart;805;38;24;500;100 %;0 %;Reader;Yes
;Line Chart;197;17;0;1150;100 %;70 %;Skipper;Yes
;Area Chart;208;15;0;50;100 %;66 %;Skipper;Yes
;Stacked Area;315;26;0;775;55.3%;55 %;Skipper;No
;Misleading;189;24;1;75;100 %;0 %;Skipper;Yes
P23;Base Chart;452;14;0;500;100 %;45 %;Skipper;Yes
;Line Chart;168;1;78;1150;100 %;100 %;Reader;No
;Area Chart;46;0;56;100;100 %;100 %;Reader;No
;Stacked Area;340;8;105;1350;96.4%;0 %;Reader;No
;Misleading;224;0;92;200;100 %;100 %;Reader;No
P24;Base Chart;426;13;8;0;100 %;0 %;Skipper;No
;Line Chart;583;15;21;1050;91.3%;50 %;Reader;Yes
;Area Chart;63;0;0;100;100 %;100 %;Skipper;No
;Stacked Area;641;20;1;0;0 %;0 %;Skipper;Yes
;Misleading;0;0;0;0;0 %;0 %;;No
P25;Base Chart;394;1;59;500;100 %;100 %;Reader;No
;Line Chart;544;13;46;1025;82 %;82 %;Reader;No
;Area Chart;165;1;9;100;100 %;100 %;Skipper;No
;Stacked Area;569;29;60;975;69.6%;69 %;Reader;No
;Misleading;37;1;0;175;87.5%;87.5%;Skipper;No
P26;Base Chart;81;2;56;475;95 %;95 %;Reader;No
;Line Chart;180;3;26;1150;100 %;100 %;Reader;No
;Area Chart;14;0;62;100;100 %;100 %;Reader;No
;Stacked Area (1);238;8;87;1300;91 %;61.9%;Reader;Yes
;Misleading;71;0;26;200;100 %;72 %;Reader;No
;Stacked Area (2);137;1;1;1400;100 %;100 %;Reader;No
P27;Base Chart;195;1;47;475;95.0%;95 %;Reader;No
;Line Chart;290;14;25;1700;100 %;40 %;Reader;Yes
;Area Chart;63;0;76;250;100 %;100 %;Reader;No
;Stacked Area;567;16***;102;1150;82.1%;82 %;Reader;No
;Misleading;119;0;74;200;100 %;100 %;Reader;No
P28;Line Chart;248;0;161;1150;100 %;100 %;Reader;No
;Area Chart;54;0;65;100;100 %;100 %;Reader;No
;Stacked Area;883;24;256;1200;85.7%;85.7%;Reader;No
;Misleading;133;4;94;100;50.0%;50.0%;Reader;No
P29;Base Chart;195;1;47;475;95 %;0;Reader;Yes
;Line Chart;301;14;116;1150;100 %;33 %;Reader;Yes
;Area Chart;135;0;76;250;100 %;100 %;Reader;No
;Stacked Area;567;16;201;1025;91 %;0 %;Reader;Yes
;Misleading;119;0;74;200;100 %;100 %;Reader;No
P30;Base Chart;186;0;49;500;100 %;100 %;Reader;No
;Line Chart;303;7;56;1275;100 %;80 %;Reader;No
;Area Chart;128;1;63;150;60 %;60 %;Reader;No
;Stacked Area;705;11;112;1150;82 %;82 %;Reader;No
;Misleading;191;1;79;175;87.5%;87.5%;Reader;No
P31;Base Chart;266;4;0;450;90.0%;90.0%;Skipper;No
;Line Chart;261;5;72;1250;100 %;100 %;Reader;No
;Area Chart;31;0;56;100;100 %;100 %;Reader;No
;Stacked Area;445;8;78;1325;94.6%;94.6%;Reader;No
;Misleading;194;4;95;175;87.5%;87.5%;Reader;No
